name	halfgap[m]	nsigma
TCL.5R1.B1 	0.00295033791018 	10.0
TCTH.4L2.B1 	0.00515859203927 	26.0
TDI.4L2.B1 	0.21 	999.0
TCTVB.4L2 	0.00557528141566 	26.0
TCLIA.4R2 	0.275 	999.0
TCLIB.6R2.B1 	0.194 	999.0
TCP.6L3.B1 	0.00206218494204 	8.0
TCSG.5L3.B1 	0.00192674336643 	11.6
TCSG.4R3.B1 	0.00133487779449 	11.6
TCSG.A5R3.B1 	0.00172457559271 	11.6
TCSG.B5R3.B1 	0.00195070904491 	11.6
TCLA.A5R3.B1 	0.00405543051624 	13.6
TCLA.B5R3.B1 	0.00376395616062 	13.6
TCLA.6R3.B1 	0.00347761363817 	13.6
TCLA.7R3.B1 	0.00248783242851 	13.6
TCTH.4L5.B1 	0.00892006903965 	10.0
TCTVA.4L5.B1 	0.00566781492314 	10.0
TCL.5R5.B1 	0.00295393181482 	10.0
TCDQA.A4R6.B 	0.00479451322489 	9.6
TCDQA.B4R6.B 	0.0048480638251 	9.6
TCSG.4R6.B1 	0.00465170724566 	9.1
TCP.D6L7.B1 	0.00109366085717 	5.5
TCP.C6L7.B1 	0.00151675677865 	5.5
TCP.B6L7.B1 	0.00128066233537 	5.5
TCSG.A6L7.B1 	0.00191679453371 	8.0
TCSG.B5L7.B1 	0.00229075000542 	8.0
TCSG.A5L7.B1 	0.00233719673238 	8.0
TCSG.D4L7.B1 	0.00149220274274 	8.0
TCSG.B4L7.B1 	0.00212572763991 	8.0
TCSG.A4L7.B1 	0.00208974020635 	8.0
TCSG.A4R7.B1 	0.00209712630074 	8.0
TCSG.B5R7.B1 	0.0024012061708 	8.0
TCSG.D5R7.B1 	0.00241297068651 	8.0
TCSG.E5R7.B1 	0.00241590573934 	8.0
TCSG.6R7.B1 	0.00329477306359 	8.0
TCLA.A6R7.B1 	0.001653414939 	10.6
TCLA.B6R7.B1 	0.00300894547888 	10.6
TCLA.C6R7.B1 	0.00293637944722 	10.6
TCLA.D6R7.B1 	0.00192150356454 	10.6
TCLA.A7R7.B1 	0.00190985789133 	10.6
TCRYO.8R7.B1 	0.00130150412277 	10.0
TCRYO.10R7.B 	0.00147322407005 	10.0
TCTH.4L8.B1 	0.00576294197064 	26.0
TCTVB.4L8 	0.0061751063348 	26.0
TCTH.4L1.B1 	0.00892006903965 	10.0
TCTVA.4L1.B1 	0.00566781492314 	10.0
